SampleID	OspCType	Score	Doubts	CacApe	IDFail	Notes	DigPlateID	OspCID	Site	Date (Year 2008)
N08-0368	N	1	0	0	0		Dig07	54335821	Miles	8/26/2011
N08-0368	L	1	0	0	0		Dig07	54335822	Miles	8/26/2011
N08-0388		0	0	0	0	negative - PCR band weak	Dig07	54335823	Bent of the River	6/20/2011
N08-0368	N	1	0	0	0		Dig07	54335832	Miles	8/26/2011
N08-0368	L	0	0	0	0		Dig07	54335833	Miles	8/26/2011
N08-0368	C	0	0	0	0		Dig07	54335834	Miles	8/26/2011
N08-0368	I	0	-1	-1	0		Dig07	54335835	Miles	8/26/2011
N08-0368	A	0	0	0	0	Weaker	Dig07	54335836	Miles	8/26/2011
N08-0389	B	1	0	0	0		Dig07	54335837	Bent of the River	6/20/2011
N08-0391	D	1	0	0	0		Dig07	54335838	Bent of the River	7/10/2011
N08-0395	K	0	0	0	0		Dig07	54335839	Bent of the River	7/10/2011
N08-0398	F	0	0	0	0		Dig07	54335840	Bent of the River	7/10/2011
N08-0398	B	0	0	0	0		Dig07	54335841	Bent of the River	7/10/2011
N08-0398	O	0	0	0	0		Dig07	54335842	Bent of the River	7/10/2011
N08-0413	K	0	0	0	0		Dig07	54335843	Bent of the River	8/1/2011
N08-0417	I	0	0	0	0		Dig07	54335844	Bent of the River	8/21/2011
N08-0417	L	1	0	0	0		Dig07	54335845	Bent of the River	8/21/2011
N08-0418	I	0	0	0	0		Dig07	54335846	Bent of the River	8/21/2011
N08-0418	L	0	0	0	0		Dig07	54335847	Bent of the River	8/21/2011
N08-0424	K	0	0	0	0		Dig07	54335848	Bent of the River	9/12/2011
N08-0424	B	1	0	0	0		Dig07	54335849	Bent of the River	9/12/2011
N08-0426	F	1	0	0	0		Dig07	54335850	Bent of the River	9/12/2011
N08-0426	O	1	0	0	0		Dig07	54335851	Bent of the River	9/12/2011
N08-0429	K	0	0	0	0		Dig07	54335852	Bent of the River	10/3/2011
N08-0439	K	1	-1	-1	0		Dig07	54335853	Marvelwood	7/8/2011
N08-0439	N	2	0	0	0		Dig07	54335854	Marvelwood	7/8/2011
N08-0439	F	2	0	0	0		Dig07	54335855	Marvelwood	7/8/2011
N08-0439	E	1	0	0	0		Dig07	54335856	Marvelwood	7/8/2011
N08-0441	K	1	0	0	0		Dig07	54335857	Marvelwood	7/8/2011
N08-0452	B	1	0	0	0		Dig07	54335858	Marvelwood	7/29/2011
N08-0454	I	0	0	0	0		Dig07	54335859	Marvelwood	7/29/2011
N08-0454	K	1	0	0	0		Dig07	54335860	Marvelwood	7/29/2011
N08-0456	A	2	0	0	0		Dig07	54335861	Marvelwood	7/29/2011
N08-0458	K	1	0	0	0		Dig07	54335862	Marvelwood	8/20/2011
N08-0143	B	0	0	0	0		Dig07	54335863	Sharon	7/16/2011
N08-0145	I	0	-1	-1	0		Dig07	54335864	Sharon	7/16/2011
N08-0145	A	2	-1	-1	0		Dig07	54335865	Sharon	7/16/2011
N08-0145	J	1	-1	-1	0		Dig07	54335866	Sharon	7/16/2011
N08-0145	H	1	0	0	0		Dig07	54335867	Sharon	7/16/2011
N08-0145	D	0	0	0	0		Dig07	54335868	Sharon	7/16/2011
N08-0145	L	1	-1	-1	0		Dig07	54335869	Sharon	7/16/2011
N08-0150	A	2	0	0	0		Dig07	54335870	Sharon	7/16/2011
N08-0151	B	0	0	0	0		Dig07	54335871	Sharon	7/16/2011
N08-0152			0	0	-1	Only 560Y - no Fam HEX? Redo	Dig07	54335872	Sharon	7/16/2011
N08-0153	T	0	0	0	0		Dig07	54335873	Sharon	7/16/2011
N08-0156	A	1	0	0	0		Dig07	54335874	Sharon	7/16/2011
N08-0158	F	0	0	0	0		Dig07	54335875	Sharon	7/16/2011
N08-0159	F	0	0	0	0		Dig07	54335876	Sharon	7/16/2011
N08-0159	L	0	0	0	0		Dig07	54335877	Sharon	7/16/2011
N08-0159	B	0	0	0	0		Dig07	54335878	Sharon	7/16/2011
N08-0159	C	0	-1	-1	0		Dig07	54335879	Sharon	7/16/2011
N08-0159	O	1	0	0	0		Dig07	54335880	Sharon	7/16/2011
N08-0160	A	1	0	0	0		Dig07	54335882	Sharon	7/16/2011
N08-0160	K	1	0	0	0		Dig07	54335883	Sharon	7/16/2011
N08-0161	H	1	0	0	0		Dig07	54335884	Sharon	7/16/2011
N08-0161	K	0	0	0	0		Dig07	54335885	Sharon	7/16/2011
N08-0161	N	1	0	0	0		Dig07	54335886	Sharon	7/16/2011
N08-0163	F	1	0	0	0		Dig07	54335887	Sharon	7/16/2011
N08-0004	B	0	0	0	0	also 452B, 127Y	Dig05	54335585	Sharon	6/25/2011
N08-0005	A	0	0	0	0	also 214G	Dig05	54335586	Sharon	6/25/2011
N08-0009	H	1	0	0	0		Dig05	54335587	Sharon	6/25/2011
N08-0010	A	2	0	0	0		Dig05	54335588	Sharon	6/25/2011
N08-0011	B	1	0	0	0	also 452B	Dig05	54335589	Sharon	6/25/2011
N08-0014	A	2	0	-1	0		Dig05	54335590	Sharon	6/25/2011
N08-0014	D	1	0	-1	0		Dig05	54335591	Sharon	6/25/2011
N08-0014	E	0	0	-1	0		Dig05	54335592	Sharon	6/25/2011
N08-0014	F	1	0	-1	0		Dig05	54335593	Sharon	6/25/2011
N08-0014	I	2	-1	-1	0		Dig05	54335594	Sharon	6/25/2011
N08-0014	J	1	-1	-1	0		Dig05	54335595	Sharon	6/25/2011
N08-0014	K	1	-1	-1	0		Dig05	54335596	Sharon	6/25/2011
N08-0014	N	0	0	-1	0		Dig05	54335597	Sharon	6/25/2011
N08-0016	F	1	0	0	0		Dig05	54335598	Sharon	6/25/2011
N08-0016	G	0	0	0	0		Dig05	54335599	Sharon	6/25/2011
N08-0017	A	2	0	0	0	also 214G	Dig05	54335600	Sharon	6/25/2011
N08-0017	B	1	0	0	0	also 214G	Dig05	54335601	Sharon	6/25/2011
N08-0019	K	0	0	0	0		Dig05	54335602	Sharon	6/25/2011
N08-0020	B	1	0	0	0	also 452B	Dig05	54335603	Sharon	6/25/2011
N08-0025	A	2	0	0	0		Dig05	54335604	Sharon	6/25/2011
N08-0030	N	1	0	0	0		Dig05	54335605	Sharon	6/25/2011
N08-0031	M	0	0	0	0	also 458B	Dig05	54335606	Sharon	6/25/2011
