CapID	TagNumber	SiteName	SessionNumber	TickName	OspCType	Doubts	Notes	DigPlateID	SI
124	6001	Great Mountain Forest	1	124A		0			1.40483870967742
124	6001	Great Mountain Forest	1	124B		0			
124	6001	Great Mountain Forest	1	124C		0			1.934375
124	6001	Great Mountain Forest	1	124D		0			2.28063241106719
124	6001	Great Mountain Forest	1	124E		0			1.40177252584934
214	6001	Great Mountain Forest	2	214A		0			2.09440559440559
214	6001	Great Mountain Forest	2	214B		0			2.06270627062706
214	6001	Great Mountain Forest	2	214C		0			
214	6001	Great Mountain Forest	2	214D		0			1.30709677419355
125	6002	Great Mountain Forest	1	125A		0			2.33739837398374
125	6002	Great Mountain Forest	1	125A	F	0		Dig08	2.33739837398374
125	6002	Great Mountain Forest	1	125A	H	0		Dig08	2.33739837398374
125	6002	Great Mountain Forest	1	125B		0			2.27731092436975
220	6002	Great Mountain Forest	2	220A		0			2.5
220	6002	Great Mountain Forest	2	220B		0			2.05333333333333
74	6003	Sharon	1	74A		0			1.96398891966759
74	6003	Sharon	1	74B	N	0		Dig10	2.0777027027027
74	6003	Sharon	1	74C		0			2.28861788617886
87	6006	Miles	1	87A		0			1.44508670520231
87	6006	Miles	1	87A	A	0		Dig08	1.44508670520231
87	6006	Miles	1	87A	B	0		Dig08	1.44508670520231
87	6006	Miles	1	87A	F	0		Dig08	1.44508670520231
87	6006	Miles	1	87A	L	0		Dig08	1.44508670520231
87	6006	Miles	1	87B		0			1.37313432835821
87	6006	Miles	1	87B	A	0		Dig08	1.37313432835821
87	6006	Miles	1	87B	B	0		Dig08	1.37313432835821
87	6006	Miles	1	87B	F	0		Dig08	1.37313432835821
87	6006	Miles	1	87B	L	0		Dig08	1.37313432835821
87	6006	Miles	1	87C		0			1.49488054607509
87	6006	Miles	1	87C	A	0		Dig08	1.49488054607509
87	6006	Miles	1	87C	B	0		Dig08	1.49488054607509
87	6006	Miles	1	87C	F	0		Dig08	1.49488054607509
87	6006	Miles	1	87C	L	0		Dig08	1.49488054607509
87	6006	Miles	1	87D		0			1.57116104868914
87	6006	Miles	1	87D	B	0		Dig08	1.57116104868914
87	6006	Miles	1	87E		0			
87	6006	Miles	1	87F		0			1.63102725366876
87	6006	Miles	1	87F	A	0		Dig08	1.63102725366876
87	6006	Miles	1	87G		0			2.30864197530864
87	6006	Miles	1	87G	A	0		Dig11	2.30864197530864
87	6006	Miles	1	87H		0			1.56405693950178
87	6006	Miles	1	87I	F	0	no Y peaks but B and G match	Dig10	
87	6006	Miles	1	87J		0			2.08333333333333
87	6006	Miles	1	87J	F	0		Dig08	2.08333333333333
87	6006	Miles	1	87J	L	0		Dig08	2.08333333333333
87	6006	Miles	1	87J	O	0	555Y weak	Dig08	2.08333333333333
87	6006	Miles	1	87K		0			1.34986225895317
87	6006	Miles	1	87K	B	0		Dig08	1.34986225895317
87	6006	Miles	1	87K	C	0		Dig08	1.34986225895317
87	6006	Miles	1	87K	H	0		Dig08	1.34986225895317
87	6006	Miles	1	87L		0			1.45958795562599
87	6006	Miles	1	87L	F	0		Dig08	1.45958795562599
185	6006	Miles	2	185A		0			1.47668393782383
185	6006	Miles	2	185A	B	0		Dig08	1.47668393782383
185	6006	Miles	2	185A	F	0		Dig08	1.47668393782383
379	6006	Miles	3	379A		0	451B, 132G, 214G	Dig08	1.62291666666667
379	6006	Miles	3	379A		0			1.62291666666667
379	6006	Miles	3	379B		0			1.71933962264151
379	6006	Miles	3	379B	G	0		Dig08	1.71933962264151
379	6006	Miles	3	379B	K	0		Dig08	1.71933962264151
379	6006	Miles	3	379C		0			1.41149773071104
379	6006	Miles	3	379C	B	0		Dig08	1.41149773071104
379	6006	Miles	3	379C	G	0		Dig08	1.41149773071104
379	6006	Miles	3	379C	K	0		Dig08	1.41149773071104
283	6008	Marvelwood	3	283A		0			
283	6008	Marvelwood	3	283B		0			
135	6012	Marvelwood	2	135A	A	0		Dig02	1.4458398744113
296	6012	Marvelwood	3	296A		0			1.83241758241758
451	6012	Marvelwood	4	451A	A	0	also 214G	Dig02	1.50275229357798
451	6012	Marvelwood	4	451B		0			2.33620689655172
451	6012	Marvelwood	4	451C		0			1.92378048780488
451	6012	Marvelwood	4	451D	A	0	also 214G	Dig02	1.88538681948424
451	6012	Marvelwood	4	451E	A	0		Dig02	1.7192118226601
451	6012	Marvelwood	4	451F		0			2.1685393258427
451	6012	Marvelwood	4	451G		0			
451	6012	Marvelwood	4	451H		0			2.27037037037037
451	6012	Marvelwood	4	451I	A	0		Dig02	1.36390977443609
584	6012	Marvelwood	5	584A	A	0	also 214G	Dig02	1.96341463414634
584	6012	Marvelwood	5	584B		0			
31	6026	Marvelwood	1	31A		0		Dig10	
31	6026	Marvelwood	1	31B		0		Dig10	
33	6027	Marvelwood	1	33A		0			
33	6027	Marvelwood	1	33B		0			1.59171597633136
33	6027	Marvelwood	1	33B	F	0		Dig08	1.59171597633136
269	6027	Marvelwood	3	269A		0			1.44556113902848
269	6027	Marvelwood	3	269A	D	0		Dig08	1.44556113902848
269	6027	Marvelwood	3	269B		0			1.78328981723238
269	6027	Marvelwood	3	269B	F	0	post-standard adjustment	Dig08	1.78328981723238
590	6027	Marvelwood	5	590A		0			1.58882235528942
590	6027	Marvelwood	5	590B		0			1.76923076923077
154	6029	Bent of the River	2	154A	D	0		Dig02	1.62777777777778
312	6029	Bent of the River	3	312A		0			2.10869565217391
312	6029	Bent of the River	3	312B		0			2.20158102766798
312	6029	Bent of the River	3	312C		0			1.3792093704246
312	6029	Bent of the River	3	312D		0			1.40629921259843
465	6029	Bent of the River	4	465A		0			1.65
465	6029	Bent of the River	4	465B		0			1.88858695652174
465	6029	Bent of the River	4	465C		0			1.89085545722714
465	6029	Bent of the River	4	465D		0			1.85163204747774
465	6029	Bent of the River	4	465E		0			1.92655367231638
465	6029	Bent of the River	4	465F		0			1.77513227513228
465	6029	Bent of the River	4	465G		0			1.49023090586146
64	6030	Bent of the River	1	64A		0		Dig10	
64	6030	Bent of the River	1	64B		0		Dig10	
64	6030	Bent of the River	1	64C		0		Dig10	
64	6030	Bent of the River	1	64D		0		Dig10	
64	6030	Bent of the River	1	64E		0		Dig10	
64	6030	Bent of the River	1	64F		0		Dig10	
65	6031	Bent of the River	1	65A		0			
65	6031	Bent of the River	1	65B		0			
65	6031	Bent of the River	1	65C		0			
65	6031	Bent of the River	1	65D		0			
153	6031	Bent of the River	2	153A		0			
153	6031	Bent of the River	2	153B		0			
69	6035	Sharon	1	69A		0			
70	6036	Sharon	1	70A		0			1.80348258706468
70	6036	Sharon	1	70B		0			1.36386449184442
425	6036	Sharon	3	425A		0			2.25301204819277
425	6036	Sharon	3	425B		0			2.13780918727915
71	6037	Sharon	1	71A		0			1.70434782608696
71	6037	Sharon	1	71A	A	0		Dig08	1.70434782608696
71	6037	Sharon	1	71A	B	0		Dig08	1.70434782608696
71	6037	Sharon	1	71A	D	0		Dig08	1.70434782608696
71	6037	Sharon	1	71A	K	0		Dig08	1.70434782608696
71	6037	Sharon	1	71B		0			1.97368421052632
71	6037	Sharon	1	71C	A	0		Dig10	2.14046822742475
71	6037	Sharon	1	71C	B	0		Dig10	2.14046822742475
71	6037	Sharon	1	71C	D	0		Dig10	2.14046822742475
71	6037	Sharon	1	71D		0			2.13395638629284
71	6037	Sharon	1	71D	B	0	post-standard adjustment	Dig08	2.13395638629284
71	6037	Sharon	1	71E		0			1.82105263157895
71	6037	Sharon	1	71E	B	0		Dig08	1.82105263157895
178	6037	Sharon	2	178A		0			2.00630914826498
178	6037	Sharon	2	178A	A	0		Dig08	2.00630914826498
178	6037	Sharon	2	178A	B	0		Dig08	2.00630914826498
411	6037	Sharon	3	411B		0			2.21343873517787
411	6037	Sharon	3	411C		0			2.05177993527508
411	6037	Sharon	3	411C	F	0		Dig08	2.05177993527508
411	6037	Sharon	3	411D		0			1.49762282091918
411	6037	Sharon	3	411D	A	0		Dig08	1.49762282091918
411	6037	Sharon	3	411D	D	0		Dig08	1.49762282091918
411	6037	Sharon	3	411E		0		Dig09	1.4624808575804
411	6037	Sharon	3	411E		0			1.4624808575804
411	6037	Sharon	3	411E	A	0		Dig11	1.4624808575804
411	6037	Sharon	3	411F		0			1.55747126436782
411	6037	Sharon	3	411G		0			2.33333333333333
411	6037	Sharon	3	411G	A	0		Dig09	2.33333333333333
411	6037	Sharon	3	411H		0			2.33734939759036
411	6037	Sharon	3	411I		0			2.16206896551724
118	6039	Great Mountain Forest	1	118A		0			
119	6040	Great Mountain Forest	1	119A		0			
120	6041	Great Mountain Forest	1	120A		0			2.18014705882353
120	6041	Great Mountain Forest	1	120B		0			1.67665952890792
120	6041	Great Mountain Forest	1	120C		0			2.01941747572816
120	6041	Great Mountain Forest	1	120C	A	0		Dig09	2.01941747572816
120	6041	Great Mountain Forest	1	120D		0			2.22222222222222
120	6041	Great Mountain Forest	1	120E		0			2.39004149377593
120	6041	Great Mountain Forest	1	120F		0			2.14642857142857
120	6041	Great Mountain Forest	1	120G		0			1.71867612293144
120	6041	Great Mountain Forest	1	120H		0			1.54455445544554
120	6041	Great Mountain Forest	1	120I		0			1.3129074315515
120	6041	Great Mountain Forest	1	120J		0			1.55822550831793
558	6041	Great Mountain Forest	4	558A		0			1.66518847006652
678	6041	Great Mountain Forest	5	678A		0			1.39728353140917
678	6041	Great Mountain Forest	5	678A	A	0		Dig09	1.39728353140917
121	6042	Great Mountain Forest	1	121A		0			
218	6042	Great Mountain Forest	2	218A		0			
89	6046	Miles	1	89A		0			1.36934306569343
89	6046	Miles	1	89B		0			1.3982905982906
89	6046	Miles	1	89C		0			1.6457399103139
89	6046	Miles	1	89D		0			1.644
89	6046	Miles	1	89E		0			1.40345368916798
89	6046	Miles	1	89F		0			1.88724035608309
89	6046	Miles	1	89G		0			2.03157894736842
89	6046	Miles	1	89H		0			2.15748031496063
183	6046	Miles	2	183A		0			2.3063829787234
183	6046	Miles	2	183B		0			1.65654205607477
183	6046	Miles	2	183B	A	0		Dig08	1.65654205607477
183	6046	Miles	2	183B	K	0		Dig08	1.65654205607477
183	6046	Miles	2	183C		0			1.44787077826725
183	6046	Miles	2	183C	A	0	post-standard adjustment	Dig08	1.44787077826725
183	6046	Miles	2	183C	K	0	post-standard adjustment	Dig08	1.44787077826725
388	6046	Miles	3	388A		0			1.3489010989011
388	6046	Miles	3	388A	A	0		Dig08	1.3489010989011
388	6046	Miles	3	388A	K	0		Dig08	1.3489010989011
388	6046	Miles	3	388B		0			1.39595375722543
388	6046	Miles	3	388B	A	0	post-standard adjustment	Dig08	1.39595375722543
388	6046	Miles	3	388C		0			1.59295499021526
388	6046	Miles	3	388C	A	0	post-standard adjustment	Dig08	1.59295499021526
388	6046	Miles	3	388C	K	0	post-standard adjustment	Dig08	1.59295499021526
388	6046	Miles	3	388D		0			2.11870503597122
388	6046	Miles	3	388D	A	0		Dig08	2.11870503597122
388	6046	Miles	3	388D	K	0		Dig08	2.11870503597122
388	6046	Miles	3	388E		0			2.07308970099668
388	6046	Miles	3	388F		0			2.43069306930693
388	6046	Miles	3	388F	K	0		Dig08	2.43069306930693
388	6046	Miles	3	388G		0			1.30769230769231
388	6046	Miles	3	388G	A	0		Dig08	1.30769230769231
388	6046	Miles	3	388G	K	0		Dig08	1.30769230769231
388	6046	Miles	3	388H		0			1.4265625
388	6046	Miles	3	388H	A	0	post-standard adjustment	Dig08	1.4265625
388	6046	Miles	3	388H	K	0	post-standard adjustment	Dig08	1.4265625
91	6048	Miles	1	91A	F	0		Dig10	
91	6048	Miles	1	91A	H	0		Dig10	
91	6048	Miles	1	91A	L	0		Dig10	
91	6048	Miles	1	91B	H	0	also 499B	Dig10	
91	6048	Miles	1	91B	L	0		Dig10	
91	6048	Miles	1	91C	H	0	also 499B	Dig10	
91	6048	Miles	1	91D		0			
91	6048	Miles	1	91E	F	0		Dig10	
91	6048	Miles	1	91E	H	0		Dig10	
91	6048	Miles	1	91E	L	0		Dig10	
91	6048	Miles	1	91F		0			
91	6048	Miles	1	91G		0			
91	6048	Miles	1	91H		0			
91	6048	Miles	1	91I		0			
91	6048	Miles	1	91J	H	0	also 499B	Dig10	
91	6048	Miles	1	91J	L	0		Dig10	
91	6048	Miles	1	91K	H	0	also 499B, 159B	Dig10	
91	6048	Miles	1	91K	L	0		Dig10	
191	6048	Miles	2	191A	H	0	also 141G, 145Y	Dig10	
191	6048	Miles	2	191A	L	0	also 141G, 145Y	Dig10	
191	6048	Miles	2	191B	H	0	also 499B	Dig10	
92	6049	Miles	1	92A		0			2.24710424710425
92	6049	Miles	1	92B		0			2.22813688212928
92	6049	Miles	1	92C		0			2.33613445378151
92	6049	Miles	1	92D		0			1.8
384	6049	Miles	3	384A	F	0		Dig02	1.46991869918699
384	6049	Miles	3	384B		0			
384	6049	Miles	3	384D	F	0		Dig02	1.48956661316212
527	6049	Miles	4	527A		0			1.8659217877095
527	6049	Miles	4	527B		0			2.36986301369863
527	6049	Miles	4	527C	F	0	also 291Y	Dig02	1.41205211726384
527	6049	Miles	4	527D	F	0		Dig02	1.79136690647482
527	6049	Miles	4	527E		0			1.58472998137803
34	6051	Marvelwood	1	34A		0		Dig10	
35	6052	Marvelwood	1	35A		0		Dig10	
35	6052	Marvelwood	1	35B		0		Dig10	
50	6053	Bent of the River	1	50A		0		Dig10	
48	6054	Bent of the River	1	48A		0			
48	6054	Bent of the River	1	48B	H	0	also 499B	Dig10	
48	6054	Bent of the River	1	48C		0			
48	6054	Bent of the River	1	48D	H	0	also 499B	Dig10	
52	6055	Bent of the River	1	52A		0			1.64071856287425
301	6055	Bent of the River	3	301A		0			1.59375
460	6055	Bent of the River	4	460A		0			2.3203125
460	6055	Bent of the River	4	460B		0			2.27037037037037
460	6055	Bent of the River	4	460C		0			2.36614173228346
53	6056	Bent of the River	1	53A		0			
53	6056	Bent of the River	1	53B		0			
149	6056	Bent of the River	2	149A	A	0		Dig10	
149	6056	Bent of the River	2	149A	B	0		Dig10	
149	6056	Bent of the River	2	149B	A	0		Dig10	
149	6056	Bent of the River	2	149B	B	0		Dig10	
149	6056	Bent of the River	2	149C	A	0		Dig10	
149	6056	Bent of the River	2	149C	B	0		Dig10	
149	6056	Bent of the River	2	149C	N	0		Dig10	
149	6056	Bent of the River	2	149D	A	0		Dig10	
149	6056	Bent of the River	2	149D	B	0		Dig10	
149	6056	Bent of the River	2	149E	B	0		Dig10	
149	6056	Bent of the River	2	149F	B	0		Dig10	
56	6057	Bent of the River	1	56A		0			1.36092265943012
56	6057	Bent of the River	1	56B		0			1.38994565217391
56	6057	Bent of the River	1	56C		0			2.19391634980989
152	6057	Bent of the River	2	152A		0			1.50600343053173
152	6057	Bent of the River	2	152B		0			2.20472440944882
152	6057	Bent of the River	2	152C		0			1.82479784366577
313	6057	Bent of the River	3	313A		0			1.49360146252285
313	6057	Bent of the River	3	313B		0			
313	6057	Bent of the River	3	313C		0			1.34195402298851
313	6057	Bent of the River	3	313D		0			1.38239538239538
313	6057	Bent of the River	3	313E		0			1.48217636022514
313	6057	Bent of the River	3	313F		0			1.38282387190684
313	6057	Bent of the River	3	313G		0			2.12408759124088
313	6057	Bent of the River	3	313H		0			2.11827956989247
313	6057	Bent of the River	3	313I		0			2.0625
313	6057	Bent of the River	3	313J		0			2.08791208791209
313	6057	Bent of the River	3	313K		0			2.04901960784314
313	6057	Bent of the River	3	313L		0			
313	6057	Bent of the River	3	313M		0			2.19343065693431
313	6057	Bent of the River	3	313N		0			2.053125
313	6057	Bent of the River	3	313P		0			1.54356060606061
313	6057	Bent of the River	3	313Q		0			1.91515151515152
313	6057	Bent of the River	3	313R		0			
313	6057	Bent of the River	3	313T		0			2.02439024390244
313	6057	Bent of the River	3	313U		0			
313	6057	Bent of the River	3	313V		0			2.203125
313	6057	Bent of the River	3	313W		0			
313	6057	Bent of the River	3	313X		0			2.07216494845361
478	6057	Bent of the River	4	478A		0			1.73923444976077
478	6057	Bent of the River	4	478AA		0			1.56307129798903
478	6057	Bent of the River	4	478B		0			2.16479400749064
478	6057	Bent of the River	4	478BB		0			1.39017735334243
478	6057	Bent of the River	4	478C		0			
478	6057	Bent of the River	4	478CC		0			1.42579750346741
478	6057	Bent of the River	4	478D		0			2.26765799256506
478	6057	Bent of the River	4	478DD		0			1.5774378585086
478	6057	Bent of the River	4	478E		0			1.39520958083832
478	6057	Bent of the River	4	478EE		0			1.34065934065934
478	6057	Bent of the River	4	478F		0			
478	6057	Bent of the River	4	478FF		0			1.57952468007313
478	6057	Bent of the River	4	478G		0			2.29838709677419
478	6057	Bent of the River	4	478GG		0			1.79683377308707
478	6057	Bent of the River	4	478HH		0			1.90934065934066
478	6057	Bent of the River	4	478I		0			2.29182879377432
478	6057	Bent of the River	4	478II		0			1.9025069637883
478	6057	Bent of the River	4	478J		0			2.13409961685824
478	6057	Bent of the River	4	478JJ		0			2.24714828897338
478	6057	Bent of the River	4	478K		0			2.12156862745098
478	6057	Bent of the River	4	478KK		0			1.28644501278772
478	6057	Bent of the River	4	478L		0			1.73041474654378
478	6057	Bent of the River	4	478LL		0			1.4
478	6057	Bent of the River	4	478M		0			
478	6057	Bent of the River	4	478MM		0			1.40210843373494
478	6057	Bent of the River	4	478N		0			1.91142857142857
478	6057	Bent of the River	4	478NN		0			1.332
478	6057	Bent of the River	4	478O		0			1.4620253164557
478	6057	Bent of the River	4	478OO		0			1.28660049627792
478	6057	Bent of the River	4	478P		0			1.62025316455696
478	6057	Bent of the River	4	478PP		0			1.86991869918699
478	6057	Bent of the River	4	478Q		0			1.85872576177285
478	6057	Bent of the River	4	478QQ		0			
478	6057	Bent of the River	4	478R		0			
478	6057	Bent of the River	4	478RR		0			2.3046875
478	6057	Bent of the River	4	478S		0			1.93230769230769
478	6057	Bent of the River	4	478T		0			1.61469933184855
478	6057	Bent of the River	4	478U		0			1.43944636678201
478	6057	Bent of the River	4	478V		0			1.80913978494624
478	6057	Bent of the River	4	478W		0			1.55512572533849
478	6057	Bent of the River	4	478X		0			1.93788819875776
478	6057	Bent of the River	4	478Y		0			2.33467741935484
610	6057	Bent of the River	5	610A		0			2.34285714285714
610	6057	Bent of the River	5	610B		0			1.5
610	6057	Bent of the River	5	610C		0			1.36555891238671
610	6057	Bent of the River	5	610D		0			2.39035087719298
610	6057	Bent of the River	5	610E		0			1.91238670694864
610	6057	Bent of the River	5	610F		0			1.91737891737892
610	6057	Bent of the River	5	610G		0			1.37974683544304
610	6057	Bent of the River	5	610H		0			1.36480686695279
610	6057	Bent of the River	5	610I		0			1.42716857610475
610	6057	Bent of the River	5	610J		0			1.42301458670989
57	6058	Bent of the River	1	57A		0		Dig10	
58	6059	Bent of the River	1	58A		0		Dig10	
304	6060	Bent of the River	3	304A		0			2.3348623853211
304	6060	Bent of the River	3	304B		0			1.91228070175439
304	6060	Bent of the River	3	304C		0			2.30232558139535
304	6060	Bent of the River	3	304D		0			2.28571428571429
304	6060	Bent of the River	3	304E		0			2.20081967213115
304	6060	Bent of the River	3	304F		0			1.87573964497041
304	6060	Bent of the River	3	304G		0			2.3531914893617
304	6060	Bent of the River	3	304H		0			1.76470588235294
304	6060	Bent of the River	3	304I		0			1.56822810590631
304	6060	Bent of the River	3	304J		0			1.36656891495601
304	6060	Bent of the River	3	304K		0			1.43414634146341
